"country","year","dname","median","mima5_mhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"Canada",2006,"ca06",31542.2697196488,31800.7597033382,15900.3798516691,"mima5_mhi",0.2481965022165,66646,31853379.9989,7905897.4995
"Canada",2007,"ca07",32445.6168880102,32169.1282961738,16084.5641480869,"mima5_mhi",0.238361060881217,64783,32194011.0156,7673798.6197
"Canada",2008,"ca08",33102.5581591548,32431.4482122395,16215.7241061197,"mima5_mhi",0.241635514155444,60898,32567047.0113,7869355.1491
"Canada",2009,"ca09",32433.9920389791,32807.1387201141,16403.5693600571,"mima5_mhi",0.262331126645562,62116,32970037.997,8649067.2133
"Canada",2010,"ca10",32632.8042554044,33152.8260392615,16576.4130196308,"mima5_mhi",0.265200051993149,60362,33324460.007,8837648.5265
"Canada",2011,"ca11",33420.7222590221,33511.5360898756,16755.7680449378,"mima5_mhi",0.251384284192494,57836,33666426.99,8463210.6502
"Canada",2012,"ca12",34174.0534837472,34047.0782770986,17023.5391385493,"mima5_mhi",0.256361084948862,57540,33682117.2013,8634784.1091
"Canada",2013,"ca13",34896.1084122252,34561.937814755,17280.9689073775,"mima5_mhi",0.260449316507903,54483,34017360.8562,8859798.3844
"Canada",2014,"ca14",35111.7029750941,34763.2987657602,17381.6493828801,"mima5_mhi",0.241188042102812,55552,34432065.1795,8304602.3862
"Canada",2015,"ca15",35207.1019436861,34958.9523628477,17479.4761814239,"mima5_mhi",0.257208597405365,59730,34747526.6844,8937362.6018
"Canada",2016,"ca16",34427.5270140484,35178.4155553064,17589.2077776532,"mima5_mhi",0.25457202732732,62149,35158296.4989,8950318.8171
"Canada",2017,"ca17",35152.3214691847,35421.483788165,17710.7418940825,"mima5_mhi",0.258599718869549,91885,35556042.9083,9194782.7002
"Canada",2018,"ca18",35993.4243745189,35333.4440423886,17666.7220211943,"mima5_mhi",0.243218137954562,93936,36065191.4712,8771708.7146
"Canada",2019,"ca19",36327.0441393868,35789.4444404865,17894.7222202432,"mima5_mhi",0.241480146568846,72354,36482530.2849,8809806.7604
"Canada",2020,"ca20",34766.9032148041,34766.9032148041,17383.4516074021,"mima5_mhi",0.258583313572115,123135,36696967.5905,9489223.4776
"Canada",2021,"ca21",36707.5290045378,36707.5290045378,18353.7645022689,"mima5_mhi",0.249447323438309,89511,37110618.0299,9257144.3387
"Germany",1985,"de85",27827.0295118736,27827.0295118736,13913.5147559368,"mima5_mhi",0.268581821388981,13956,60547419.65,16261936.25
"Germany",1986,"de86",29099.1455594429,29099.1455594429,14549.5727797214,"mima5_mhi",0.262661742485927,13709,60811512.78,15972857.91
"Germany",1987,"de87",30152.1271109402,30167.0459712835,15083.5229856418,"mima5_mhi",0.259941292984606,13069,60910434.23,15833137.03
"Germany",1988,"de88",31502.2814514016,31161.6036692581,15580.8018346291,"mima5_mhi",0.258542201119554,12645,61403151.56,15875305.96
