"country","year","dname","median","mima5_dhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"United Kingdom",2002,"uk02",18444.355931623,18409.9078413093,9204.95392065464,"mima5_dhi",0.111961206996355,67400,58304534,6527846
"United Kingdom",2003,"uk03",18757.3459095761,18820.5212877171,9410.26064385854,"mima5_dhi",0.107513608087756,67123,58570316,6297106
"United Kingdom",2004,"uk04",19231.5413827158,19138.0587227538,9569.02936137688,"mima5_dhi",0.0936891983559673,65232,58877417,5516178
"United Kingdom",2005,"uk05",19482.0839216948,19488.1373233874,9744.06866169371,"mima5_dhi",0.10014242495746,64733,59327383,5941188
"United Kingdom",2006,"uk06",19774.9664681592,19764.7460647549,9882.37303237747,"mima5_dhi",0.106346258288306,59530,59733103,6352392
"United Kingdom",2007,"uk07",20194.7489347912,19895.3969984864,9947.69849924319,"mima5_dhi",0.103432966983958,56926,60181441,6224745
"United Kingdom",2008,"uk08",20140.3896164138,19962.596146902,9981.29807345099,"mima5_dhi",0.0978502802849228,57276,60631160,5932776
"United Kingdom",2009,"uk09",19884.796051373,19884.838599869,9942.41929993451,"mima5_dhi",0.0939054734716397,57380,61084778,5736195
"United Kingdom",2010,"uk10",19818.0796637728,19738.0962738136,9869.04813690681,"mima5_dhi",0.0872865365765907,57928,61559551,5373320
"United Kingdom",2011,"uk11",19386.1787329943,19631.218817501,9815.60940875052,"mima5_dhi",0.0836489807335757,47744,62439661,5223014
"United Kingdom",2012,"uk12",19461.0373045142,19673.1300137008,9836.56500685041,"mima5_dhi",0.0871178962481089,46420,62841669,5474634
"United Kingdom",2013,"uk13",19606.0023348508,19779.5027357275,9889.75136786374,"mima5_dhi",0.0853034044510835,46166,62856741,5361894
"United Kingdom",2014,"uk14",20094.3520323719,20032.6245090467,10016.3122545234,"mima5_dhi",0.0864359159489989,44787,63413165,5481175
"United Kingdom",2015,"uk15",20349.9432739061,20314.3566401239,10157.1783200619,"mima5_dhi",0.0901171000292425,43678,63907072,5759120
"United Kingdom",2016,"uk16",20651.7875995905,20571.5459452176,10285.7729726088,"mima5_dhi",0.0913207734030228,44145,64421005,5882976
"United Kingdom",2017,"uk17",20869.6979598999,20891.3576815983,10445.6788407992,"mima5_dhi",0.0978926801497803,42847,64641350,6327915
"United Kingdom",2018,"uk18",20891.9488603194,21061.1565283424,10530.5782641712,"mima5_dhi",0.0972747173724488,43075,65464513,6368042
"United Kingdom",2019,"uk19",21693.4107142757,21296.5045101771,10648.2522550885,"mima5_dhi",0.0987684083256831,43314,65614604,6480650
"United Kingdom",2020,"uk20",21198.9375076266,21198.9375076266,10599.4687538133,"mima5_dhi",0.0892109042045771,21254,66004521,5888323
"United Kingdom",2021,"uk21",21828.5275087638,21828.5275087638,10914.2637543819,"mima5_dhi",0.0973269751708929,34590,66332792,6455970
