"country","year","dname","median","mima5_dhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"Canada",2004,"ca04",28245.9639541058,28528.5412005076,14264.2706002538,"mima5_dhi",0.133267503947825,68542,31174918.9842,4154603.6388
"Canada",2005,"ca05",29158.8440656385,29079.3839979506,14539.6919989753,"mima5_dhi",0.127729610931598,66010,31516412.991,4025579.1693
"Canada",2006,"ca06",29463.7847010282,29735.8704255756,14867.9352127878,"mima5_dhi",0.125055315788703,66646,31853379.9989,3983434.4947
"Canada",2007,"ca07",30645.3357842935,30329.4527797332,15164.7263898666,"mima5_dhi",0.116723577595818,64783,32194011.0156,3757800.1429
"Canada",2008,"ca08",31165.4236228118,30830.0546021777,15415.0273010889,"mima5_dhi",0.123472764205633,60898,32567047.0113,4021143.3165
"Canada",2009,"ca09",31213.8757248941,31350.9867451027,15675.4933725513,"mima5_dhi",0.12923032118397,62116,32970037.997,4260728.5998
"Canada",2010,"ca10",31661.853177861,31734.6737965698,15867.3368982849,"mima5_dhi",0.126583459615367,60362,33324460.007,4218325.4375
"Canada",2011,"ca11",32068.4454156531,32085.8583977142,16042.9291988571,"mima5_dhi",0.12216658330335,57836,33666426.99,4112912.3574
"Canada",2012,"ca12",32563.7710416291,32467.8922032693,16233.9461016347,"mima5_dhi",0.132490681985032,57540,33682117.2013,4462566.6787
"Canada",2013,"ca13",32921.3466285338,32881.9822120554,16440.9911060277,"mima5_dhi",0.13569380849716,54483,34017360.8562,4615945.2496
"Canada",2014,"ca14",33124.0447526698,33165.4906454797,16582.7453227398,"mima5_dhi",0.126920769713281,55552,34432065.1795,4370144.2154
"Canada",2015,"ca15",33732.3032217915,33528.5951493474,16764.2975746737,"mima5_dhi",0.139256643931794,59730,34747526.6844,4838823.951
"Canada",2016,"ca16",33485.9875827743,33895.1788669821,16947.5894334911,"mima5_dhi",0.127359800715603,62149,35158296.4989,4477753.6356
"Canada",2017,"ca17",34379.2935609678,34306.0786670224,17153.0393335112,"mima5_dhi",0.121470152872818,91884,35555937.4501,4318985.1576
"Canada",2018,"ca18",34754.2652167073,34982.3518590248,17491.1759295124,"mima5_dhi",0.121934752990615,93936,36065191.4712,4397600.2136
"Canada",2019,"ca19",35178.5437528713,35617.9399249716,17808.9699624858,"mima5_dhi",0.118464861516966,72352,36481478.5343,4321773.3025
"Canada",2020,"ca20",37113.6691818034,37113.6691818034,18556.8345909017,"mima5_dhi",0.084518608289665,123135,36696967.5905,3101576.6292
"Canada",2021,"ca21",36663.9279125081,36663.9279125081,18331.9639562541,"mima5_dhi",0.0961340387547734,89511,37110618.0299,3567593.5919
"Germany",1985,"de85",23957.311177851,23957.311177851,11978.6555889255,"mima5_dhi",0.068865838777326,13956,60547419.65,4169648.84
"Germany",1986,"de86",25244.2328605763,25244.2328605763,12622.1164302881,"mima5_dhi",0.0655460681338439,13709,60811512.78,3985955.56
"Germany",1987,"de87",25835.6056920705,25746.1963536698,12873.0981768349,"mima5_dhi",0.0694943006647484,13069,60910434.23,4232928.03
"Germany",1988,"de88",26680.982337734,26559.9833823663,13279.9916911831,"mima5_dhi",0.0682017695119101,12645,61403151.56,4187803.59
"Germany",1989,"de89",27012.8497001169,26690.2132776251,13345.1066388125,"mima5_dhi",0.0553605516726605,12495,62752830.22,3474031.3
"Germany",1990,"de90",28026.2463213336,26776.0643952257,13388.0321976129,"mima5_dhi",0.0581652276411382,12490,62822346.24,3654076.07
"Germany",1991,"de91",25895.3823368704,26672.162832412,13336.081416206,"mima5_dhi",0.08481979116766,17921,80116894.73,6795498.28
"Germany",1992,"de92",26264.8612800738,26406.4046099776,13203.2023049888,"mima5_dhi",0.0769389905998116,17610,80849758.64,6220498.82
"Germany",1993,"de93",26161.4745236652,25928.8242539254,12964.4121269627,"mima5_dhi",0.0650184043279535,17216,81128517.91,5274846.78
"Germany",1994,"de94",25684.0585879451,25931.4980242182,12965.7490121091,"mima5_dhi",0.0844934692020219,17812,81486943.37,6885114.54
"Germany",1995,"de95",25638.3445410727,25770.1722216738,12885.0861108369,"mima5_dhi",0.0770481141956173,17424,81726197.01,6296849.36
"Germany",1996,"de96",25908.7511883341,25745.39766006,12872.69883003,"mima5_dhi",0.0723757705839832,17105,82005631.61,5935220.78
"Germany",1997,"de97",25458.2322673518,25943.4551970668,12971.7275985334,"mima5_dhi",0.0717986900715352,18860,81769376.63,5870934.13
"Germany",1998,"de98",26037.6017155961,26287.2008581421,13143.6004290711,"mima5_dhi",0.0673069193364097,18097,81896763.28,5512218.84
"Germany",1999,"de99",26674.3462729791,26464.787991963,13232.3939959815,"mima5_dhi",0.0711474419968366,31990,81906921.97,5827467.98
