"country","year","dname","median","mima5_mhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"Germany",1990,"de90",26212.8929509998,24876.4570425531,12438.2285212765,"mima5_mhi",0.24434967457847,12490,62822346.24,15350619.86
"Germany",1991,"de91",23449.6311346719,24593.9562492904,12296.9781246452,"mima5_mhi",0.269386828367905,17921,80116894.73,21582436.17
"Germany",1992,"de92",23766.627182313,24017.6618141857,12008.8309070929,"mima5_mhi",0.275128077488099,17610,80849758.64,22244038.66
"Germany",1993,"de93",23763.4263194548,23398.5508143746,11699.2754071873,"mima5_mhi",0.275846691971203,17216,81128517.91,22379033.29
"Germany",1994,"de94",22895.7314834892,23326.6277558958,11663.3138779479,"mima5_mhi",0.293255418865026,17812,81486943.37,23896487.71
"Germany",1995,"de95",23117.3379519444,23072.8506068649,11536.4253034325,"mima5_mhi",0.292878997135658,17424,81726197.01,23935886.62
"Germany",1996,"de96",23090.0158422775,22959.9471916715,11479.9735958358,"mima5_mhi",0.297818256264998,17105,82005631.61,24422774.21
"Germany",1997,"de97",22497.7414371587,23112.562280194,11556.281140097,"mima5_mhi",0.306634235741513,18860,81769376.63,25073290.31
"Germany",1998,"de98",23198.909243488,23258.3447010981,11629.172350549,"mima5_mhi",0.298469066676404,18097,81896763.28,24443650.5
"Germany",1999,"de99",23658.8069261016,23186.0756753195,11593.0378376597,"mima5_mhi",0.297398871110331,31990,81906921.97,24359026.13
"Germany",2000,"de00",23846.2500564646,23276.6040533053,11638.3020266526,"mima5_mhi",0.300428264071339,28890,82013041.37,24639035.65
"Germany",2001,"de01",22728.6707133845,23141.0102197496,11570.5051098748,"mima5_mhi",0.309896257539048,30261,82204551.75,25474882.94
"Germany",2002,"de02",22950.3833270876,22798.4440423852,11399.2220211926,"mima5_mhi",0.319035536603825,28935,82285261.54,26251922.57
"Germany",2003,"de03",22520.9400757095,22372.8885371796,11186.4442685898,"mima5_mhi",0.326648738317926,28060,82231105.31,26860686.8
"Germany",2004,"de04",21945.9760392797,22324.8542400016,11162.4271200008,"mima5_mhi",0.329922760179925,26824,82170188.82,27109815.5
"Germany",2005,"de05",21718.4725304367,22278.4830845258,11139.2415422629,"mima5_mhi",0.343625185671954,28791,82078800.35,28204343.01
"Germany",2006,"de06",22488.4992274947,22326.5126447489,11163.2563223745,"mima5_mhi",0.338605514916991,26737,81951587.43,27749259.46
"Germany",2007,"de07",22718.5275497084,22469.3581525934,11234.6790762967,"mima5_mhi",0.329663667667078,24999,81872974.45,26990545.04
"Germany",2008,"de08",22761.0878768252,22688.4412388668,11344.2206194334,"mima5_mhi",0.325909908265651,23338,81590346.03,26591102.19
"Germany",2009,"de09",22660.2035785019,22804.8374791108,11402.4187395554,"mima5_mhi",0.3289429105267,37581,81356884.23,26761770.29
"Germany",2010,"de10",22813.8879618041,22757.0392680811,11378.5196340405,"mima5_mhi",0.331300576932208,44132,79750508.51,26421389.48
"Germany",2011,"de11",23070.4804287145,22683.6477463061,11341.8238731531,"mima5_mhi",0.325287230264549,42526,79839541.93,25970783.46
"Germany",2012,"de12",22479.5364945597,22790.1020071791,11395.0510035895,"mima5_mhi",0.334037433313084,47815,80061579.73,26743564.6
"Germany",2013,"de13",22394.1302679505,23096.3124315635,11548.1562157818,"mima5_mhi",0.337176937001637,41636,80412486.13,27113235.77
"Germany",2014,"de14",23192.4748828668,23405.0480036693,11702.5240018347,"mima5_mhi",0.337047332723503,41214,81035321.15,27312738.85
"Germany",2015,"de15",24344.9400837263,23956.0495426813,11978.0247713406,"mima5_mhi",0.330222651062401,36940,81426771.13,26888964.23
"Germany",2016,"de16",24614.1582892433,24672.9251658268,12336.4625829134,"mima5_mhi",0.329574690776293,45720,82096466.65,27056917.61
"Germany",2017,"de17",25234.5441896196,25411.8551294627,12705.9275647313,"mima5_mhi",0.331849253238243,47899,82251488.36,27295094.99
"Germany",2018,"de18",25978.5083836781,26006.8770663874,13003.4385331937,"mima5_mhi",0.324821253114135,48520,82500600.94,26797948.58
"Germany",2019,"de19",26887.124701046,26586.794871116,13293.397435558,"mima5_mhi",0.326310596806474,50558,82886497.94,27046742.61
"Germany",2020,"de20",27320.0497683499,27320.0497683499,13660.024884175,"mima5_mhi",0.32493865731846,31206,81409719.54,26453164.96
"Germany",2021,"de21",27513.7473128864,27513.7473128864,13756.8736564432,"mima5_mhi",0.318040772019995,50086,82782240.38,26328127.64
"United Kingdom",1985,"uk85",13166.7482121332,13166.7482121332,6583.3741060666,"mima5_mhi",0.28015584726861,18206,56549823.999219,15842763.855392
"United Kingdom",1986,"uk86",13108.1731241171,13108.1731241171,6554.08656205856,"mima5_mhi",0.302503737730034,18330,56750920.2316747,17167365.4897006
"United Kingdom",1987,"uk87",14046.3528624309,14197.510666253,7098.75533312652,"mima5_mhi",0.290350918588211,18735,56799654.000501,16491831.714538
"United Kingdom",1988,"uk88",15083.1313191638,14717.8527942114,7358.92639710571,"mima5_mhi",0.268520102543059,18280,56903792.999933,15279812.331431
"United Kingdom",1989,"uk89",15583.1478134202,15269.6973514959,7634.84867574797,"mima5_mhi",0.278395961427278,18590,57058909.002261,15884969.829676
"United Kingdom",1990,"uk90",15768.458851925,15424.6979468465,7712.34897342324,"mima5_mhi",0.268164250945838,17437,57219609.000482,15344253.587028
"United Kingdom",1991,"uk91",15867.3959105398,15332.7572159951,7666.37860799753,"mima5_mhi",0.280021853222271,17089,57433922.999685,16082753.556197
"United Kingdom",1992,"uk92",14821.3558391836,15190.5267460041,7595.26337300203,"mima5_mhi",0.309357335980877,18174,57579567.000642,17812661.454251
"United Kingdom",1993,"uk93",14623.4276649066,15077.6583475628,7538.82917378142,"mima5_mhi",0.313346958343051,17291,57698434.999846,18079629.108356
"United Kingdom",1994,"uk94",14871.9954634652,15125.979142825,7562.98957141249,"mima5_mhi",0.325641460852053,62650,55169228,17965388
"United Kingdom",1995,"uk95",15204.116859719,15453.4922128327,7726.74610641633,"mima5_mhi",0.328339204561783,60626,53795102,17663041
"United Kingdom",1996,"uk96",16108.9998868504,15976.564563169,7988.28228158452,"mima5_mhi",0.320130485975499,58533,53834751,17234145
"United Kingdom",1997,"uk97",16458.921189222,16488.5280492817,8244.26402464083,"mima5_mhi",0.307104201798295,53765,53753794,16508016
"United Kingdom",1998,"uk98",17238.7894165886,17158.2432425253,8579.12162126263,"mima5_mhi",0.312492164045097,51817,53694796,16779203
